단원번호,대단원명,중단원번호,중단원명,소단원번호,소단원명
1,과학과 인류,1,과학과 인류,1,과학적 탐구방법
,,,,2,과학의 발전과 인류 문명
,,,,3,지속가능한 삶
2,생물의 구성과 다양성,1,생물의 구성,1,세포
,,,,2,생물의 구성 단계
,,2,생물의 다양성과 분류,1,생물다양성과 변이
,,,,2,생물의 분류
,,3,생물다양성 보전,1,생물다양성보전의 필요성
,,,,2,생물다양성 유지
3,열,1,열의 이동,1,온도와 입자
,,,,2,열평형
,,,,3,열이 이동하는 방식
,,2,비열과 열팽창,1,비열
,,,,2,열팽창
4,물질의 상태변화,1,물질을 구성하는 입자의 운동,1,확산 현상
,,,,2,증발 현상
,,2,물질의 상태와 상태 변화,1,물질의 세가지 상태
,,,,2,물질의 상태 변화
,,,,3,상태 변화와 입자배열의 변화
,,3,상태 변화와 열에너지,1,상태 변화와 열에너지
,,,,2,물질의 상태변화시 열에너지 출입
5,힘의 작용,1,힘의 표현과 평형,1,과학에서의 힘
,,,,2,나란한 힘의 합력과 평형
,,2,여러가지 힘,1,중력
,,,,2,탄성력
,,,,3,마찰력
,,,,4,부력
,,3,힘의 작용과 운동 상태의 변화,1,알짜힘과 운동상태 변화
,,,,2,속력과 운동방향이 변하는 운동
,,,,3,일상생활에서의 힘의 작용
6,기체의 성질,1,기체의 압력,1,압력
,,,,2,기체의 압력
,,2,기체의 압력 및 온도와 부피 관계,1,기체의 압력과 부피 관계
,,,,2,기체의 온도와 부피 관계
7,태양계,1,태양계의 구성,1,태양계를 구성하는 천체
,,,,2,태양 
,,,,3,천체 망원경
,,2,지구의 운동,1,지구의 자전
,,,,2,지구의 공전
,,3,달의 운동,1,달의 위상 변화
,,,,2,일식과 월식
